text,label,cleaned,vader_label,vader_score,finbert_label,finbert_confidence,finbert_score
"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .",positive,board director propose dividend eur per share eur per share paid,positive,0.5267,positive,0.951758623123169,0.951758623123169
"MegaFon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of December 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to TeliaSonera estimates .",positive,megafon subscriber base increased million user december market share number customer amounted late late according teliasonera estimate,positive,0.5574,positive,0.9560876488685608,0.9560876488685608
"Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 .",positive,net income life insurance doubled eur mn eur mn net income nonlife insurance rose eur mn eur mn corresponding period,neutral,0.0,positive,0.9523158073425293,0.9523158073425293
Net sales increased to EUR193 .3 m from EUR179 .9 m and pretax profit rose by 34.2 % to EUR43 .1 m. ( EUR1 = USD1 .4 ),positive,net sale increased eur eur pretax profit rose eur eur usd,positive,0.6124,positive,0.9558927416801453,0.9558927416801453
"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .",positive,net sale surged eur teleste said eur sale came acquisition made,neutral,0.0,positive,0.949585497379303,0.949585497379303
Nordea Group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,positive,nordea group operating profit increased percent yearonyear billion euro total revenue percent billion euro,positive,0.6124,positive,0.9569340348243713,0.9569340348243713
"Operating profit for the nine-month period increased from EUR13 .6 m , while net sales increased from EUR394 .7 m , as compared to the corresponding period in 2005 .",positive,operating profit ninemonth period increased eur net sale increased eur compared corresponding period,positive,0.7269,positive,0.956375241279602,0.956375241279602
"Operating profit for the three-month period increased from EUR1 .2 m , while revenue increased from EUR20 .2 m , as compared to the corresponding period in 2005 .",positive,operating profit threemonth period increased eur revenue increased eur compared corresponding period,positive,0.7269,positive,0.9568637013435364,0.9568637013435364
"The company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier .",positive,company net profit rose year million euro sale million euro year company said earlier,positive,0.4404,positive,0.9585705399513245,0.9585705399513245
"The Lithuanian beer market made up 14.41 million liters in January , a rise of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .",positive,lithuanian beer market made million liter january rise percent yearearlier figure lithuanian brewer association reporting citing result member,neutral,0.0,positive,0.9534754157066345,0.9534754157066345
"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .",positive,viking line cargo revenue increased eur mn cargo volume increased cargo unit,positive,0.4939,positive,0.9567638635635376,0.9567638635635376
"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .",positive,fair value property portfolio doubled result kapiteeli acquisition totalled eur million,positive,0.5719,positive,0.9245228171348572,0.9245228171348572
10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V said yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and announced a proposal for a raised payout .,positive,february finnish medium company sanoma oyj hel saav said yesterday net profit almost tripled eur eur announced proposal raised payout,positive,0.4404,positive,0.9418976306915283,0.9418976306915283
"A Helsinki : ELIiV today reported EPS of EUR1 .13 for 2009 , an increase over EPS of EUR1 .12 in 2008 .",positive,helsinki eliiv today reported eps eur increase eps eur,positive,0.3182,positive,0.9560032486915588,0.9560032486915588
"Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % .",positive,commission income increased eur mn lending volume rose,positive,0.2732,positive,0.9561483860015869,0.9561483860015869
"In January , traffic , measured in revenue passenger kilometres RPK , went up by 3.2 % and capacity , measured in available seat kilometres ASK , rose by 12.2 % .",positive,january traffic measured revenue passenger kilometre rpk went capacity measured available seat kilometre ask rose,neutral,0.0,positive,0.9588885307312012,0.9588885307312012
"In January-September 2010 , Fiskars ' net profit went up by 14 % year-on-year to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million .",positive,januaryseptember fiskars net profit went yearonyear eur million net sale eur million eur million,positive,0.4404,positive,0.9516132473945618,0.9516132473945618
"Net income from life insurance rose to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .",positive,net income life insurance rose eur mn eur mn net income nonlife insurance eur mn eur mn,neutral,0.0,positive,0.9530863761901855,0.9530863761901855
Sales have risen in other export markets .,positive,sale risen export market,neutral,0.0,positive,0.9557326436042786,0.9557326436042786
Sales increased due to growing market rates and increased operations .,positive,sale increased due growing market rate increased operation,positive,0.5994,positive,0.9581224322319031,0.9581224322319031
The agreement strengthens our long-term partnership with Nokia Siemens Networks .,positive,agreement strengthens longterm partnership nokia siemens network,positive,0.7351,positive,0.9503065943717957,0.9503065943717957
"The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln .",positive,company order book stood bln euro bln september pct year international order amounting mln euro mln,neutral,0.0,positive,0.9551298022270203,0.9551298022270203
"The company said that paper demand increased in all of its main markets , including of publication papers , and that it increased average paper prices by 4 percent compared with last year .",positive,company said paper demand increased main market including publication paper increased average paper price percent compared last year,positive,0.4019,positive,0.9562219381332397,0.9562219381332397
"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",positive,world second largest stainless steel maker said net profit threemonth period dec surged euro million u million euro u per share euro million euro per share previous year,positive,0.743,positive,0.9479159712791443,0.9479159712791443
"Shares of Standard Chartered ( STAN ) rose 1.2 % in the FTSE 100 , while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 % .",positive,share standard chartered stan rose ftse royal bank scotland rb share rose barclays share barc bcs,positive,0.6808,positive,0.9487479329109192,0.9487479329109192
Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .,positive,share nokia corp rose thursday cell phone maker said thirdquarter earnings almost doubled share global handset market increased,positive,0.6705,positive,0.9504469037055969,0.9504469037055969
"In its financial report , published on Friday , SEB said its net profit soared to SEK6 .745 bn in 2010 from a year-earlier SEK1 .114 bn and proposed a 50 % dividend increase to SEK1 .50 per share .",positive,financial report published friday seb said net profit soared sek bn yearearlier sek bn proposed dividend increase sek per share,positive,0.7506,positive,0.9499437808990479,0.9499437808990479
"At the request of Finnish media company Alma Media 's newspapers , research manager Jari Kaivo-oja at the Finland Futures Research Centre at the Turku School of Economics has drawn up a future scenario for Finland 's national economy by using a model developed by the University of Denver .",neutral,request finnish medium company alma medium newspaper research manager jari kaivooja finland future research centre turku school economics drawn future scenario finland national economy using model developed university denver,neutral,0.0,neutral,0.8370206952095032,0.0
STOCK EXCHANGE ANNOUNCEMENT 20 July 2006 1 ( 1 ) BASWARE SHARE SUBSCRIPTIONS WITH WARRANTS AND INCREASE IN SHARE CAPITAL A total of 119 850 shares have been subscribed with BasWare Warrant Program .,neutral,stock exchange announcement july basware share subscription warrant increase share capital total share subscribed basware warrant program,positive,0.8779,positive,0.6865683197975159,0.6865683197975159
"A maximum of 666,104 new shares can further be subscribed for by exercising B options under the 2004 stock option plan .",neutral,maximum new share subscribed exercising b option stock option plan,positive,0.296,neutral,0.9215428233146667,0.0
Tiimari operates 194 stores in six countries -- including its core Finnish market -- and generated a turnover of 76.5 mln eur in 2005 .,neutral,tiimari operates store six country including core finnish market generated turnover mln eur,neutral,0.0,neutral,0.9281978011131287,0.0
The acquisition will considerably increase Kemira 's sales and market position in the Russian metal industry coatings market .,positive,acquisition considerably increase kemira sale market position russian metal industry coating market,positive,0.3804,positive,0.9518874287605286,0.9518874287605286
"In January-September 2007 , Finnlines ' net sales rose to EUR 505.4 mn from EUR 473.5 mn in the corresponding period in 2006 .",positive,januaryseptember finnlines net sale rose eur mn eur mn corresponding period,neutral,0.0,positive,0.9498839974403381,0.9498839974403381
"Adjusted for changes in the Group structure , the Division 's net sales increased by 1.7 % .",positive,adjusted change group structure division net sale increased,positive,0.2732,positive,0.9578179717063904,0.9578179717063904
"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V saw its net profit jump to EUR2 .1 m for the last quarter of 2010 from EUR995 ,000 for the same period of 2009 .",positive,february finnish broadband data communication system provider teleste oyj hel tltv saw net profit jump eur last quarter eur period,positive,0.4404,positive,0.9452190399169922,0.9452190399169922
Finnish Aktia Group 's operating profit rose to EUR 17.5 mn in the first quarter of 2010 from EUR 8.2 mn in the first quarter of 2009 .,positive,finnish aktia group operating profit rose eur mn first quarter eur mn first quarter,positive,0.4404,positive,0.9514082074165344,0.9514082074165344
Finnish Bank of +àland 's consolidated net operating profit increased from EUR 4.8 mn in the first quarter of 2005 to EUR 6.4 mn in the first quarter of 2006 .,positive,finnish bank land consolidated net operating profit increased eur mn first quarter eur mn first quarter,positive,0.6124,positive,0.9561136960983276,0.9561136960983276
"Finnish financial group Aktia reports operating profit of EUR 44.4 mn in January-September 2009 , up from EUR 37.3 mn in the corresponding period in 2008 .",positive,finnish financial group aktia report operating profit eur mn januaryseptember eur mn corresponding period,positive,0.4404,positive,0.9526955485343933,0.9526955485343933
"Finnish high technology provider Vaahto Group reports net sales of EUR 41.8 mn in the accounting period September 2007 - February 2008 , an increase of 11.2 % from a year earlier .",positive,finnish high technology provider vaahto group report net sale eur mn accounting period september february increase year earlier,positive,0.3182,positive,0.9544605612754822,0.9544605612754822
Net sales of Finnish food industry company L+ñnnen Tehtaat 's continuing operations increased by 13 % in 2008 to EUR 349.1 mn from EUR 309.6 mn in 2007 .,positive,net sale finnish food industry company lnnen tehtaat continuing operation increased eur mn eur mn,positive,0.2732,positive,0.9548366069793701,0.9548366069793701
Biohit already services many current Genesis customers and the customer base is expected to expand as a result of this agreement .,positive,biohit already service many current genesis customer customer base expected expand result agreement,positive,0.7227,positive,0.9323959946632385,0.9323959946632385
"Both operating profit and turnover for the three-month period increased , respectively from EUR0 .9 m and EUR8 .3 m , as compared to the corresponding period in 2005 .",positive,operating profit turnover threemonth period increased respectively eur eur compared corresponding period,positive,0.7506,positive,0.958209216594696,0.958209216594696
Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .,positive,circulation revenue increased finland sweden,positive,0.2732,positive,0.9540417790412903,0.9540417790412903
Clothing chain Sepp+ñl+ñ 's net sales increased by 7.0 % to EUR 30.8 mn .,positive,clothing chain seppl net sale increased eur mn,positive,0.2732,positive,0.957904040813446,0.957904040813446
Construction volumes meanwhile grow at a rate of 10-15 percent annually .,positive,construction volume meanwhile grow rate percent annually,neutral,0.0,positive,0.855631411075592,0.855631411075592
"However , Biohit estimates its total net sales will continue to grow in 2009 , and that favourable trends in net sales will lead to a profit in 2009 .",positive,however biohit estimate total net sale continue grow favourable trend net sale lead profit,positive,0.4404,positive,0.9532979130744934,0.9532979130744934
"In 2009 , Fiskars ' cash flow from operating activities amounted to EUR121m , up from EUR97m in the previous year .",positive,fiskars cash flow operating activity amounted eurm eurm previous year,neutral,0.0,positive,0.9535810947418213,0.9535810947418213
"In Lithuania , operating profit rose to EUR 190,000 from EUR 70,000 in the corresponding period in 2005 .",positive,lithuania operating profit rose eur eur corresponding period,positive,0.4404,positive,0.9527251720428467,0.9527251720428467
"In the fourth quarter of 2008 , net sales increased by 2 % to EUR 1,050.7 mn from EUR 1,027.0 mn in the fourth quarter of 2007 .",positive,fourth quarter net sale increased eur mn eur mn fourth quarter,positive,0.2732,positive,0.9517654180526733,0.9517654180526733
"International sales rose by 59.8 % to EUR 1,244.4 mn .",positive,international sale rose eur mn,neutral,0.0,positive,0.9582593441009521,0.9582593441009521
Net sales grew in the period to  x20ac 402 million $ 585US million from  x20ac 401 million in 2006 .,positive,net sale grew period xac million u million xac million,neutral,0.0,positive,0.9500165581703186,0.9500165581703186
Net sales increased to EUR655m in April to June 2010 from EUR438m a year earlier .,positive,net sale increased eurm april june eurm year earlier,positive,0.2732,positive,0.9486861228942871,0.9486861228942871
"Net sales rose by 25.5 % year-on-year to EUR59 .6 m , as the number of chargers delivered went up by 41 % to 65.9 million pieces .",positive,net sale rose yearonyear eur number charger delivered went million piece,neutral,0.0772,positive,0.9563605189323425,0.9563605189323425
"Net sales totaled EUR 93.6 mn , up from EUR 93.2 mn in the corresponding period in 2005 .",positive,net sale totaled eur mn eur mn corresponding period,neutral,0.0,positive,0.9533369541168213,0.9533369541168213
Operating profit increased by 145.1 % to EUR 8.3 mn from EUR 3.4 mn .,positive,operating profit increased eur mn eur mn,positive,0.6124,positive,0.9523863196372986,0.9523863196372986
Operating profit margin increased from 11.2 % to 11.7 % .,positive,operating profit margin increased,positive,0.6124,positive,0.9582113027572632,0.9582113027572632
Operating profit rose to EUR 3.11 mn from EUR 1.22 mn in the corresponding period in 2009 .,positive,operating profit rose eur mn eur mn corresponding period,positive,0.4404,positive,0.9514827728271484,0.9514827728271484
Operating profit rose to EUR 5mn from EUR 2.8 mn in the fourth quarter of 2008 .,positive,operating profit rose eur mn eur mn fourth quarter,positive,0.4404,positive,0.9521843791007996,0.9521843791007996
"Operating profit was EUR 24.5 mn , up from EUR 23.0 mn .",positive,operating profit eur mn eur mn,positive,0.4404,positive,0.9562891721725464,0.9562891721725464
"Ramirent 's net sales in the second quarterended June 30 were EURO 128.7 million about U.S. $ 163 million , a 3.3-percent increase compared with EURO 124.6 million for thesecond quarter last year .",positive,ramirent net sale second quarterended june euro million u million percent increase compared euro million thesecond quarter last year,positive,0.3182,positive,0.9552369117736816,0.9552369117736816
"Revenue grew by 2 percent to  x20ac 580 million $ 743 million , from  x20ac 569 million .",positive,revenue grew percent xac million million xac million,neutral,0.0,positive,0.953300952911377,0.953300952911377
"Ruukki 's delivery volumes and selling prices showed favourable development and the company 's comparable net sales grew by 50 % year-on-year to EUR647m , CEO Sakari Tamminen said .",positive,ruukki delivery volume selling price showed favourable development company comparable net sale grew yearonyear eurm ceo sakari tamminen said,neutral,0.0,positive,0.9588744044303894,0.9588744044303894
"The company 's consolidated operating profit amounted to EUR 15.86 mn , up from EUR 4.14 mn year-on-year .",positive,company consolidated operating profit amounted eur mn eur mn yearonyear,positive,0.4404,positive,0.9546906352043152,0.9546906352043152
The Department Store Division reported an increase in sales of 4 per cent .,positive,department store division reported increase sale per cent,positive,0.3182,positive,0.9498674273490906,0.9498674273490906
The fair value of the company 's investment properties grew to EUR 2.803 billion at the end of March 2009 from EUR 2.691 million a year ago .,positive,fair value company investment property grew eur billion end march eur million year ago,positive,0.5719,positive,0.9456790089607239,0.9456790089607239
"The last quarter was the best quarter of 2009 in net sales , and the operating margin rose to 12.2 % .",positive,last quarter best quarter net sale operating margin rose,positive,0.6369,positive,0.9590121507644653,0.9590121507644653
"The major breweries increased their domestic beer sales by 4.5 per cent last year , to 256.88 million litres from 245.92 million litres in 2004 .",positive,major brewery increased domestic beer sale per cent last year million litre million litre,positive,0.3353,positive,0.9498023986816406,0.9498023986816406
- Operating profit rose by 26.9 % to EUR 105.8 ( 83.4 ) million .,positive,operating profit rose eur million,positive,0.4404,positive,0.9595321416854858,0.9595321416854858
21 October 2010 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR18 .9 m for the first nine months of 2010 from EUR15 .1 m for the same period a year earlier .,positive,october finnish fishing tackle company rapala vmc corp hel rapv said today net profit rose eur first nine month eur period year earlier,positive,0.4404,positive,0.9465400576591492,0.9465400576591492
"According to Finnish Metso Minerals , the value of the company 's orders has gone up to EUR 1.9 bn in 12 months .",positive,according finnish metso mineral value company order gone eur bn month,positive,0.34,positive,0.9478166699409485,0.9478166699409485
Finnish Bank of +àland reports its operating profit rose to EUR 21.3 mn in the second quarter of 2009 from EUR 6.1 mn in the corresponding period in 2008 .,positive,finnish bank land report operating profit rose eur mn second quarter eur mn corresponding period,positive,0.4404,positive,0.9499520659446716,0.9499520659446716
Finnish financial group Aktia 's operating profit for 2009 increased to EUR 47.0 mn from EUR 6.6 mn in 2008 .,positive,finnish financial group aktia operating profit increased eur mn eur mn,positive,0.6124,positive,0.9539974927902222,0.9539974927902222
Finnish forest machinery manufacturer Ponsse 's net sales grew to EUR 51.3 mn in the first quarter of 2010 from EUR 37.5 mn in the corresponding period in 2009 .,positive,finnish forest machinery manufacturer ponsse net sale grew eur mn first quarter eur mn corresponding period,neutral,0.0,positive,0.9478088617324829,0.9478088617324829
Finnish KCI Konecranes has raised its net sales growth estimate for 2006 from over 25 % to over 35 % .,positive,finnish kci konecranes raised net sale growth estimate,positive,0.3818,positive,0.9540956020355225,0.9540956020355225
"According to HKScan Finland , the plan is to increase J+ñrvi-Suomen Portti 's net sales to EUR 80mn to EUR 100mn .",positive,according hkscan finland plan increase jrvisuomen portti net sale eur mn eur mn,positive,0.3182,positive,0.9491135478019714,0.9491135478019714
"Advertising and circulation revenues grew by 3.4 % and by 0.4 % , respectively .",positive,advertising circulation revenue grew respectively,positive,0.34,positive,0.9574837684631348,0.9574837684631348
"At the end of March 2007 , the group 's order book was at EUR 39.6 mn , up 42 % from the corresponding period in 2006 .",positive,end march group order book eur mn corresponding period,neutral,0.0,positive,0.9569885730743408,0.9569885730743408
"At the same time profit of the company increased by 10 % in H1 and reached Ls 79,000 .",positive,time profit company increased h reached l,positive,0.6597,positive,0.9566065073013306,0.9566065073013306
"Both operating profit and net sales for the 12-month period increased , respectively from EUR10 .5 m and EUR28 .8 m , as compared to the financial year 2004 .",positive,operating profit net sale month period increased respectively eur eur compared financial year,positive,0.7506,positive,0.9577293992042542,0.9577293992042542
"Both operating profit and net sales for the 12-month period increased , respectively from EUR20 .8 m and EUR177 .7 m , as compared to the financial year 2004 .",positive,operating profit net sale month period increased respectively eur eur compared financial year,positive,0.7506,positive,0.9577295780181885,0.9577295780181885
"Both operating profit and net sales for the 12-month period increased , respectively from EUR21 .5 m and EUR196 .1 m , as compared to 2005 .",positive,operating profit net sale month period increased respectively eur eur compared,positive,0.7506,positive,0.9576215744018555,0.9576215744018555
"Both operating profit and net sales for the 12-month period increased , respectively from EUR4 .7 m and EUR26 .7 m , as compared to 2004 .",positive,operating profit net sale month period increased respectively eur eur compared,positive,0.7506,positive,0.9573447704315186,0.9573447704315186
"Both operating profit and net sales for the nine-month period increased , respectively by 26.6 % and 3.4 % , as compared to the corresponding period in 2006 .",positive,operating profit net sale ninemonth period increased respectively compared corresponding period,positive,0.7506,positive,0.9596726298332214,0.9596726298332214
"Both operating profit and net sales for the six-month period increased , respectively , from EUR13 .8 m and EUR143 .6 m , as compared to the corresponding period in 2007 .",positive,operating profit net sale sixmonth period increased respectively eur eur compared corresponding period,positive,0.7506,positive,0.9584378004074097,0.9584378004074097
"Both operating profit and net sales for the six-month period increased , respectively from EUR0 .4 m and EUR3 .2 m , as compared to the corresponding period in 2005 .",positive,operating profit net sale sixmonth period increased respectively eur eur compared corresponding period,positive,0.7506,positive,0.9584648609161377,0.9584648609161377
"Both operating profit and net sales for the six-month period increased , respectively from EUR18 .1 m and EUR127 .6 m , as compared to the corresponding period in 2006 .",positive,operating profit net sale sixmonth period increased respectively eur eur compared corresponding period,positive,0.7506,positive,0.9580706357955933,0.9580706357955933
"Both operating profit and net sales for the six-month period increased , respectively from EUR7 .5 m and EUR655 .5 m , as compared to the corresponding period in 2005 .",positive,operating profit net sale sixmonth period increased respectively eur eur compared corresponding period,positive,0.7506,positive,0.9581965208053589,0.9581965208053589
"Both operating profit and net sales for the three-month period increased , respectively from EUR15 .1 m and EUR131 .5 m , as compared to the corresponding period in 2005 .",positive,operating profit net sale threemonth period increased respectively eur eur compared corresponding period,positive,0.7506,positive,0.9585912227630615,0.9585912227630615
"Both operating profit and net sales for the three-month period increased , respectively from EUR16 .0 m and EUR139m , as compared to the corresponding quarter in 2006 .",positive,operating profit net sale threemonth period increased respectively eur eurm compared corresponding quarter,positive,0.7506,positive,0.958268404006958,0.958268404006958
"Both operating profit and sales for the three-month period increased , respectively from EUR0 .3 m and EUR13 .1 m , as compared to the corresponding period in 2005 .",positive,operating profit sale threemonth period increased respectively eur eur compared corresponding period,positive,0.7506,positive,0.9585778713226318,0.9585778713226318
"Both operating profit and turnover for the nine-month period increased , respectively from EUR2 .4 m and EUR43 .8 m , as compared to the corresponding period a year ago .",positive,operating profit turnover ninemonth period increased respectively eur eur compared corresponding period year ago,positive,0.7506,positive,0.957273542881012,0.957273542881012
"Both operating profit and turnover for the six-month period increased , respectively , from EUR17 .6 m and EUR1149 .9 m , as compared to the corresponding period in 2007 .",positive,operating profit turnover sixmonth period increased respectively eur eur compared corresponding period,positive,0.7506,positive,0.9579417705535889,0.9579417705535889
"Both operating profit and turnover for the six-month period increased , respectively from EUR0 .1 m and EUR29 .0 m , as compared to the corresponding period a year ago .",positive,operating profit turnover sixmonth period increased respectively eur eur compared corresponding period year ago,positive,0.7506,positive,0.9572929739952087,0.9572929739952087
Cargo volume increased by approximately 5 % .,positive,cargo volume increased approximately,positive,0.2732,positive,0.9573051929473877,0.9573051929473877
"comparable operating profit totaled EUR 854mn , up from EUR 730mn in 2004 .",positive,comparable operating profit totaled eur mn eur mn,positive,0.4404,positive,0.9540627002716064,0.9540627002716064
"Digia said its consolidated net sales for January-June 2010 were EUR67 .8 m , up 9.7 % on the same period in 2009 ( EUR61 .9 m ) .",positive,digia said consolidated net sale januaryjune eur period eur,neutral,0.0,positive,0.9580204486846924,0.9580204486846924
Diluted earnings per share ( EPS ) rose to EUR 0.29 from EUR 0.05 .,positive,diluted earnings per share eps rose eur eur,positive,0.296,positive,0.954177737236023,0.954177737236023
Diluted earnings per share ( EPS ) rose to EUR 0.52 versus EUR 0.09 .,positive,diluted earnings per share eps rose eur versus eur,positive,0.296,positive,0.9586362838745117,0.9586362838745117
Diluted earnings per share ( EPS ) rose to EUR 1.05 from EUR 0.64 .,positive,diluted earnings per share eps rose eur eur,positive,0.296,positive,0.9543623328208923,0.9543623328208923
Diluted earnings per share ( EPS ) rose to EUR 3.68 from EUR 0.50 .,positive,diluted earnings per share eps rose eur eur,positive,0.296,positive,0.9543044567108154,0.9543044567108154
Diluted EPS rose to EUR3 .68 from EUR0 .50 .,positive,diluted eps rose eur eur,neutral,0.0,positive,0.9523400068283081,0.9523400068283081
EBIT margin was up from 1.4 % to 5.1 % .,positive,ebit margin,neutral,0.0,positive,0.9562000036239624,0.9562000036239624
"EPS from continuing operations came in at 0.30 eur , up from 0.17 .",positive,eps continuing operation came eur,neutral,0.0,positive,0.9540409445762634,0.9540409445762634
"Equity ratio was 60.9 % compared to 54.2 % In the third quarter of 2007 , net sales of the Frozen Foods Business totaled EUR 11.0 , up by about 5 % from the third quarter of 2006 .",positive,equity ratio compared third quarter net sale frozen food business totaled eur third quarter,neutral,0.0,positive,0.957751452922821,0.957751452922821
"EUR928 ,000 in Q1 2010 6 May 2010 - Finnish textile and clothing design company Marimekko Oyj ( HEL : MMO1V ) said today its net profit rose to EUR928 ,000 in the first quarter of 2010 from EUR13 ,000 in the corresponding period a year earlier .",positive,eur q may finnish textile clothing design company marimekko oyj hel mmov said today net profit rose eur first quarter eur corresponding period year earlier,positive,0.4404,positive,0.9479404091835022,0.9479404091835022
"Finland-based Elcoteq SE , a privately held provider of electronics manufacturing services to communications companies , said Thursday it signed a long-term manufacturing supply deal with communications equipment company Andrew Corp. .",positive,finlandbased elcoteq se privately held provider electronics manufacturing service communication company said thursday signed longterm manufacturing supply deal communication equipment company andrew corp,neutral,0.0,positive,0.9422018527984619,0.9422018527984619
Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today its net profit rose to EUR 24.1 million ( USD 33.6 m ) in the third quarter of 2010 from EUR 17.9 million a year earlier .,positive,finnish cutlery hand tool maker fiskars oyj abp hel fisa said today net profit rose eur million usd third quarter eur million year earlier,positive,0.7269,positive,0.949716329574585,0.949716329574585
Finnish department store chain Stockmann Oyj Abp net profit rose to 39.8 mln euro ( $ 56.8 mln ) for the first nine months of 2007 from 37.4 mln euro ( $ 53.4 mln ) for the same period of 2006 .,positive,finnish department store chain stockmann oyj abp net profit rose mln euro mln first nine month mln euro mln period,positive,0.4404,positive,0.9525766372680664,0.9525766372680664
"Finnish lifting equipment maker Konecranes Oyj said on July 30 , 2008 that its net profit rose to 71.2 mln euro ( $ 111.1 mln ) for the first half of 2008 from 57.1 mln euro ( $ 89.1 mln ) for the same period of 2007 .",positive,finnish lifting equipment maker konecranes oyj said july net profit rose mln euro mln first half mln euro mln period,positive,0.4404,positive,0.9513660073280334,0.9513660073280334
